mass_bits,method,nonempty_levels,positive_mass_states,hidden_positive_states,max_absolute_area_error,mean_signed_area_error,one_unit_area_multiplier
3,nearest,1/4;1/2;3/4;1,7,0,3/28,0,7/4
3,positive_nearest,1/4;1/2;3/4;1,7,0,3/28,0,7/4
3,ceiling,1/4;1/2;3/4;1,7,0,3/14,3/28,7/4
4,nearest,1/4;1/2;3/4;1,15,1,7/60,0,0
4,positive_nearest,1/4;1/2;3/4;1,15,0,11/60,1/60,15/4
4,ceiling,1/4;1/2;3/4;1,15,0,7/30,7/60,15/4
5,nearest,1/4;1/2;3/4;1,31,3,15/124,0,0
5,positive_nearest,1/4;1/2;3/4;1,31,0,27/124,3/124,31/4
5,ceiling,1/4;1/2;3/4;1,31,0,15/62,15/124,31/4
6,nearest,1/4;1/2;3/4;1,63,7,31/252,0,0
6,positive_nearest,1/4;1/2;3/4;1,63,0,59/252,1/36,63/4
6,ceiling,1/4;1/2;3/4;1,63,0,31/126,31/252,63/4
7,nearest,1/4;1/2;3/4;1,127,15,63/508,0,0
7,positive_nearest,1/4;1/2;3/4;1,127,0,123/508,15/508,127/4
7,ceiling,1/4;1/2;3/4;1,127,0,63/254,63/508,127/4
8,nearest,1/4;1/2;3/4;1,255,31,127/1020,0,0
8,positive_nearest,1/4;1/2;3/4;1,255,0,251/1020,31/1020,255/4
8,ceiling,1/4;1/2;3/4;1,255,0,127/510,127/1020,255/4
