normal_index,nx,ny,level,coverage,alpha,area,absolute_area_error
0,1.0,0.0,1,0.25,-0.2500000000000001,0.2499999999999999,1.1102230246251565e-16
0,1.0,0.0,2,0.5,-5.594483210025203e-17,0.4999999999999999,1.1102230246251565e-16
0,1.0,0.0,3,0.75,0.24999999999999994,0.75,0.0
0,1.0,0.0,4,1.0,0.5,1.0,0.0
1,0.923879532511287,0.38268343236509,1,0.25,-0.2309698831278218,0.24999999999999994,5.551115123125783e-17
1,0.923879532511287,0.38268343236509,2,0.5,-5.49632421143131e-17,0.5,0.0
1,0.923879532511287,0.38268343236509,3,0.75,0.23096988312782168,0.75,0.0
1,0.923879532511287,0.38268343236509,4,1.0,0.6532814824381885,1.0,0.0
2,0.707106781186548,0.707106781186547,1,0.25,-0.20710678118654752,0.25,0.0
2,0.707106781186548,0.707106781186547,2,0.5,-6.133173666733496e-19,0.49999999999999994,5.551115123125783e-17
2,0.707106781186548,0.707106781186547,3,0.75,0.20710678118654746,0.7499999999999999,1.1102230246251565e-16
2,0.707106781186548,0.707106781186547,4,1.0,0.7071067811865475,1.0,0.0
3,0.38268343236509,0.923879532511287,1,0.25,-0.2309698831278218,0.25,0.0
3,0.38268343236509,0.923879532511287,2,0.5,-2.7764936738158165e-17,0.49999999999999994,5.551115123125783e-17
3,0.38268343236509,0.923879532511287,3,0.75,0.23096988312782168,0.75,0.0
3,0.38268343236509,0.923879532511287,4,1.0,0.6532814824381885,1.0,0.0
4,0.0,1.0,1,0.25,-0.2500000000000001,0.2499999999999999,1.1102230246251565e-16
4,0.0,1.0,2,0.5,-5.594483210025203e-17,0.4999999999999999,1.1102230246251565e-16
4,0.0,1.0,3,0.75,0.24999999999999994,0.75,0.0
4,0.0,1.0,4,1.0,0.5,1.0,0.0
5,-0.38268343236509,0.923879532511287,1,0.25,-0.2309698831278218,0.24999999999999994,5.551115123125783e-17
5,-0.38268343236509,0.923879532511287,2,0.5,-5.49632421143131e-17,0.5,0.0
5,-0.38268343236509,0.923879532511287,3,0.75,0.23096988312782168,0.75,0.0
5,-0.38268343236509,0.923879532511287,4,1.0,0.6532814824381885,1.0,0.0
6,-0.707106781186547,0.707106781186548,1,0.25,-0.20710678118654752,0.25,0.0
6,-0.707106781186547,0.707106781186548,2,0.5,-6.133173666733496e-19,0.49999999999999994,5.551115123125783e-17
6,-0.707106781186547,0.707106781186548,3,0.75,0.20710678118654746,0.7499999999999999,1.1102230246251565e-16
6,-0.707106781186547,0.707106781186548,4,1.0,0.7071067811865475,1.0,0.0
7,-0.923879532511287,0.38268343236509,1,0.25,-0.2309698831278218,0.25,0.0
7,-0.923879532511287,0.38268343236509,2,0.5,-2.7764936738158165e-17,0.49999999999999994,5.551115123125783e-17
7,-0.923879532511287,0.38268343236509,3,0.75,0.23096988312782168,0.75,0.0
7,-0.923879532511287,0.38268343236509,4,1.0,0.6532814824381885,1.0,0.0
8,-1.0,0.0,1,0.25,-0.2500000000000001,0.2499999999999999,1.1102230246251565e-16
8,-1.0,0.0,2,0.5,-5.594483210025203e-17,0.4999999999999999,1.1102230246251565e-16
8,-1.0,0.0,3,0.75,0.24999999999999994,0.75,0.0
8,-1.0,0.0,4,1.0,0.5,1.0,0.0
9,-0.923879532511287,-0.38268343236509,1,0.25,-0.2309698831278218,0.24999999999999994,5.551115123125783e-17
9,-0.923879532511287,-0.38268343236509,2,0.5,-5.49632421143131e-17,0.5,0.0
9,-0.923879532511287,-0.38268343236509,3,0.75,0.23096988312782168,0.75,0.0
9,-0.923879532511287,-0.38268343236509,4,1.0,0.6532814824381885,1.0,0.0
10,-0.707106781186548,-0.707106781186547,1,0.25,-0.20710678118654752,0.25,0.0
10,-0.707106781186548,-0.707106781186547,2,0.5,-6.133173666733496e-19,0.49999999999999994,5.551115123125783e-17
10,-0.707106781186548,-0.707106781186547,3,0.75,0.20710678118654746,0.7499999999999999,1.1102230246251565e-16
10,-0.707106781186548,-0.707106781186547,4,1.0,0.7071067811865475,1.0,0.0
11,-0.38268343236509,-0.923879532511287,1,0.25,-0.2309698831278218,0.25,0.0
11,-0.38268343236509,-0.923879532511287,2,0.5,-2.7764936738158165e-17,0.49999999999999994,5.551115123125783e-17
11,-0.38268343236509,-0.923879532511287,3,0.75,0.23096988312782168,0.75,0.0
11,-0.38268343236509,-0.923879532511287,4,1.0,0.6532814824381885,1.0,0.0
12,-0.0,-1.0,1,0.25,-0.2500000000000001,0.2499999999999999,1.1102230246251565e-16
12,-0.0,-1.0,2,0.5,-5.594483210025203e-17,0.4999999999999999,1.1102230246251565e-16
12,-0.0,-1.0,3,0.75,0.24999999999999994,0.75,0.0
12,-0.0,-1.0,4,1.0,0.5,1.0,0.0
13,0.38268343236509,-0.923879532511287,1,0.25,-0.2309698831278218,0.24999999999999994,5.551115123125783e-17
13,0.38268343236509,-0.923879532511287,2,0.5,-5.49632421143131e-17,0.5,0.0
