normal_index,level,grid,phase,geometric_area,sampled_area,absolute_sampling_error
0,1,1,0.125,0.25,1.0,0.75
0,1,1,0.5,0.25,0.0,0.25
0,1,1,0.875,0.25,0.0,0.25
0,1,4,0.125,0.25,0.25,0.0
0,1,4,0.5,0.25,0.25,0.0
0,1,4,0.875,0.25,0.25,0.0
0,1,8,0.125,0.25,0.25,0.0
0,1,8,0.5,0.25,0.25,0.0
0,1,8,0.875,0.25,0.25,0.0
0,2,1,0.125,0.5,1.0,0.5
0,2,1,0.5,0.5,0.0,0.5
0,2,1,0.875,0.5,0.0,0.5
0,2,4,0.125,0.5,0.5,0.0
0,2,4,0.5,0.5,0.5,0.0
0,2,4,0.875,0.5,0.5,0.0
0,2,8,0.125,0.5,0.5,0.0
0,2,8,0.5,0.5,0.5,0.0
0,2,8,0.875,0.5,0.5,0.0
0,3,1,0.125,0.75,1.0,0.25
0,3,1,0.5,0.75,1.0,0.25
0,3,1,0.875,0.75,0.0,0.75
0,3,4,0.125,0.75,0.75,0.0
0,3,4,0.5,0.75,0.75,0.0
0,3,4,0.875,0.75,0.75,0.0
0,3,8,0.125,0.75,0.75,0.0
0,3,8,0.5,0.75,0.75,0.0
0,3,8,0.875,0.75,0.75,0.0
0,4,1,0.125,1.0,1.0,0.0
0,4,1,0.5,1.0,1.0,0.0
0,4,1,0.875,1.0,1.0,0.0
0,4,4,0.125,1.0,1.0,0.0
0,4,4,0.5,1.0,1.0,0.0
0,4,4,0.875,1.0,1.0,0.0
0,4,8,0.125,1.0,1.0,0.0
0,4,8,0.5,1.0,1.0,0.0
0,4,8,0.875,1.0,1.0,0.0
1,1,1,0.125,0.25,1.0,0.75
1,1,1,0.5,0.25,0.0,0.25
1,1,1,0.875,0.25,0.0,0.25
1,1,4,0.125,0.25,0.375,0.125
1,1,4,0.5,0.25,0.25,0.0
1,1,4,0.875,0.25,0.125,0.125
1,1,8,0.125,0.25,0.3125,0.0625
1,1,8,0.5,0.25,0.25,0.0
1,1,8,0.875,0.25,0.1875,0.0625
1,2,1,0.125,0.5,1.0,0.5
1,2,1,0.5,0.5,0.0,0.5
1,2,1,0.875,0.5,0.0,0.5
1,2,4,0.125,0.5,0.625,0.125
1,2,4,0.5,0.5,0.5,0.0
1,2,4,0.875,0.5,0.375,0.125
1,2,8,0.125,0.5,0.5625,0.0625
1,2,8,0.5,0.5,0.5,0.0
1,2,8,0.875,0.5,0.4375,0.0625
1,3,1,0.125,0.75,1.0,0.25
1,3,1,0.5,0.75,1.0,0.25
1,3,1,0.875,0.75,0.0,0.75
1,3,4,0.125,0.75,0.875,0.125
1,3,4,0.5,0.75,0.75,0.0
1,3,4,0.875,0.75,0.625,0.125
1,3,8,0.125,0.75,0.8125,0.0625
1,3,8,0.5,0.75,0.75,0.0
1,3,8,0.875,0.75,0.6875,0.0625
1,4,1,0.125,1.0,1.0,0.0
1,4,1,0.5,1.0,1.0,0.0
1,4,1,0.875,1.0,1.0,0.0
1,4,4,0.125,1.0,1.0,0.0
1,4,4,0.5,1.0,1.0,0.0
1,4,4,0.875,1.0,1.0,0.0
1,4,8,0.125,1.0,1.0,0.0
1,4,8,0.5,1.0,1.0,0.0
1,4,8,0.875,1.0,1.0,0.0
2,1,1,0.125,0.25,1.0,0.75
2,1,1,0.5,0.25,0.0,0.25
2,1,1,0.875,0.25,0.0,0.25
2,1,4,0.125,0.25,0.375,0.125
2,1,4,0.5,0.25,0.1875,0.0625
2,1,4,0.875,0.25,0.1875,0.0625
2,1,8,0.125,0.25,0.328125,0.078125
2,1,8,0.5,0.25,0.234375,0.015625
2,1,8,0.875,0.25,0.15625,0.09375
2,2,1,0.125,0.5,1.0,0.5
2,2,1,0.5,0.5,0.0,0.5
2,2,1,0.875,0.5,0.0,0.5
2,2,4,0.125,0.5,0.625,0.125
2,2,4,0.5,0.5,0.5,0.0
2,2,4,0.875,0.5,0.375,0.125
2,2,8,0.125,0.5,0.5625,0.0625
2,2,8,0.5,0.5,0.5,0.0
2,2,8,0.875,0.5,0.4375,0.0625
2,3,1,0.125,0.75,1.0,0.25
2,3,1,0.5,0.75,1.0,0.25
2,3,1,0.875,0.75,0.0,0.75
2,3,4,0.125,0.75,0.8125,0.0625
2,3,4,0.5,0.75,0.8125,0.0625
2,3,4,0.875,0.75,0.625,0.125
2,3,8,0.125,0.75,0.84375,0.09375
2,3,8,0.5,0.75,0.765625,0.015625
2,3,8,0.875,0.75,0.671875,0.078125
2,4,1,0.125,1.0,1.0,0.0
2,4,1,0.5,1.0,1.0,0.0
2,4,1,0.875,1.0,1.0,0.0
2,4,4,0.125,1.0,1.0,0.0
2,4,4,0.5,1.0,1.0,0.0
2,4,4,0.875,1.0,1.0,0.0
2,4,8,0.125,1.0,1.0,0.0
2,4,8,0.5,1.0,1.0,0.0
2,4,8,0.875,1.0,1.0,0.0
3,1,1,0.125,0.25,1.0,0.75
3,1,1,0.5,0.25,0.0,0.25
3,1,1,0.875,0.25,0.0,0.25
3,1,4,0.125,0.25,0.375,0.125
3,1,4,0.5,0.25,0.25,0.0
3,1,4,0.875,0.25,0.125,0.125
3,1,8,0.125,0.25,0.3125,0.0625
3,1,8,0.5,0.25,0.25,0.0
3,1,8,0.875,0.25,0.1875,0.0625
3,2,1,0.125,0.5,1.0,0.5
3,2,1,0.5,0.5,0.0,0.5
3,2,1,0.875,0.5,0.0,0.5
3,2,4,0.125,0.5,0.625,0.125
3,2,4,0.5,0.5,0.5,0.0
3,2,4,0.875,0.5,0.375,0.125
3,2,8,0.125,0.5,0.5625,0.0625
3,2,8,0.5,0.5,0.5,0.0
3,2,8,0.875,0.5,0.4375,0.0625
3,3,1,0.125,0.75,1.0,0.25
3,3,1,0.5,0.75,1.0,0.25
3,3,1,0.875,0.75,0.0,0.75
3,3,4,0.125,0.75,0.875,0.125
3,3,4,0.5,0.75,0.75,0.0
