group,id,top,bottom,layout,seed,workers,variant,ticks,breakthrough,swaps,conversions,initial_water_mass,final_water_mass,chunk_allocations,max_cores,histogram_used,tick_us_p95,sha256
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s00,2,14,packed,0,1,baseline,1800,-1,0,0,0,0,0,6,14,0.9,441509ea551e491783a719bc6d7cda5277a75d255b0f1460f419a91ef089f63b
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s01,2,14,packed,1,1,baseline,1800,-1,0,0,0,0,0,3,14,0.8,993662ba652b620000c7f3bb008b6582ddc75d35e25eb7a3ac3faab87f18e456
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s02,2,14,packed,2,1,baseline,1800,-1,0,0,0,0,0,3,14,0.8,2448b29f5624c94f60e46421e3cdba8fb170ec97aa16fe8a662ed9031dbdad05
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s03,2,14,packed,3,1,baseline,1800,-1,0,0,0,0,0,3,14,1.3,9a1f3e405c8cf226ab6dfaa563b6458d567b541698d28065e0e944c242941bd6
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s04,2,14,packed,4,1,baseline,1800,-1,0,0,0,0,0,3,14,1.1,ff0fed5041adf22a2c3bda6e73e2375173b2e567bf5597e27676998de9a5b1b6
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s00,14,2,packed,0,1,baseline,1800,-1,0,0,0,0,0,6,14,0.9,752b29e6ed2a0ca5f76117978cce64efd18c6d209f15ae3f053d22d685322d27
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s01,14,2,packed,1,1,baseline,1800,-1,0,0,0,0,0,3,14,1.4,b92b06c894ff3d8998af34a6667a8136ab55abab187f8069ba01a1903f2a11ef
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s02,14,2,packed,2,1,baseline,1800,-1,0,0,0,0,0,3,14,1.4,224836717e0a8b0c93c6e3e6dd3299a7c716d0bc7c347e1f5010dd1f108e3739
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s03,14,2,packed,3,1,baseline,1800,-1,0,0,0,0,0,3,14,1.3,a5773749c31404f557d1d194d9503e0de482bedd4738901b76d1e55a2b30e839
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s04,14,2,packed,4,1,baseline,1800,-1,0,0,0,0,0,3,14,2,5b762282203dd432ef6a429a5d6938cfc4c9c6be7659749b993ec9ab72f9db36
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s00,13,2,packed,0,1,baseline,1800,-1,0,0,0,0,0,6,8,1.6,0691041e3dc4fb8d99dd71a0c13954e089a840e7be27b6df666ee685b1208445
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s01,13,2,packed,1,1,baseline,1800,-1,0,0,0,0,0,3,8,1.3,a0fc6156ab5d401d1cbf8ca6cd6bd6c65fa803312ec6fcb87182e84f1b229ab4
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s02,13,2,packed,2,1,baseline,1800,-1,0,0,0,0,0,3,8,1.3,8fafe8692283e36c78e7518554dca22c0c1776f0c75f36d0660bbd711d87e456
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s03,13,2,packed,3,1,baseline,1800,-1,0,0,0,0,0,3,8,1.2,1f66438d4ccf1d8a8206672c692cec72b9bb69fcd030e61e255fd1356643a1df
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s04,13,2,packed,4,1,baseline,1800,-1,0,0,0,0,0,3,8,2,88a041f542e0cf59c1e7d9a6cd7213b5bedf5fdbc320295a3495a6bb8efaf3e5
native-expanded,003-Sand-Stone-packed-32-baseline-w32-s00,2,13,packed,0,1,baseline,1800,-1,0,0,0,0,0,6,10,1.3,68daae553fde64b2ef311aaf893eeaaaeadc68e69e2bfe631b9e696b38a8b9bb
native-expanded,003-Sand-Stone-packed-32-baseline-w32-s01,2,13,packed,1,1,baseline,1800,-1,0,0,0,0,0,3,10,1.6,ce842ee4560b2bc05ec2deb5b1bd9cf415cf79b324e7776e3f6822312d5f4d39
native-expanded,003-Sand-Stone-packed-32-baseline-w32-s02,2,13,packed,2,1,baseline,1800,-1,0,0,0,0,0,3,10,1.5,7d9e32701b565811bd16674b29b308b71a04e048dfb456a4f89f0a29f0afe284
native-expanded,003-Sand-Stone-packed-32-baseline-w32-s03,2,13,packed,3,1,baseline,1800,-1,0,0,0,0,0,3,10,1.2,edfe46b4f50948ef873e980374fa33844a68c6a3af4bd8f409e6eb9618bb6724
native-expanded,003-Sand-Stone-packed-32-baseline-w32-s04,2,13,packed,4,1,baseline,1800,-1,0,0,0,0,0,3,10,1.1,4e329baad6c3a5e4953cd0654332cdf1a16b1111b177a934f967f98c9f6a649f
native-expanded,004-Rust-Sand-packed-32-baseline-w32-s00,29,2,packed,0,1,baseline,1800,-1,0,0,0,0,0,6,14,1.2,5b6dc568820c45c5d757cfa541ce50d944ad8fa68fc2cd2c8e9e5fbbc58d0dc6
native-expanded,004-Rust-Sand-packed-32-baseline-w32-s01,29,2,packed,1,1,baseline,1800,-1,0,0,0,0,0,3,14,1.5,40f43acfcef82e76432ba9418e8f33a6e50982b7b1cf22e721cad178efd2027f
native-expanded,004-Rust-Sand-packed-32-baseline-w32-s02,29,2,packed,2,1,baseline,1800,-1,0,0,0,0,0,3,14,1.1,048747d82526c6cf0b68b83fb728a9d776138858425726b8be7059d5641eae9e
