id,material,layout,seed,support_cells,workers,peak_depth,final_depth,grounded_ticks,max_overlap,floor_tick,sha256
player-000,2,flat,0,8,1,0.0,0.0,1768,0,-1,b1b6203b962c83dcca52a484aac9e78ada9a17a49d3a52812ecea6c5a0565ced
player-001,2,flat,1,8,1,0.0,0.0,1768,0,-1,dfbef865cb270e871eca579018519f002d9196f431f3a01268b8f3b4cbcaa6a4
player-002,2,flat,2,8,1,0.0,0.0,1768,0,-1,d5114459735bf3145e4ebf1403f194b875ccadc2a4e94e770556da38910a2c5a
player-003,2,flat,3,8,1,0.0,0.0,1768,0,-1,a7240c4e98d481f7a6227f39cda196d59bc217db0972298525eb2546a4213485
player-004,2,flat,4,8,1,0.0,0.0,1768,0,-1,83cd4e8304265f03bbe06b84f0d7383f652558cb4ffb25779988d5ae17aa225c
player-005,13,flat,0,8,1,0.0,0.0,1768,0,-1,23d922c841aab029651c78acd84259df39c6fb72b95fc394d18f164a3572796f
player-006,13,flat,1,8,1,0.0,0.0,1768,0,-1,67c0fbc0da23d9d2f7c81d279639a9411f24f9ef2d61cd7696af3add1416db09
player-007,13,flat,2,8,1,0.0,0.0,1768,0,-1,ec173df94ceaddb7085fadb2c73a7b63f543602846844588467da0485f9cee95
player-008,13,flat,3,8,1,0.0,0.0,1768,0,-1,94eb7f13375d22584748914758ae435604e84601721c215d89210ff300647a3d
player-009,13,flat,4,8,1,0.0,0.0,1768,0,-1,b5759453885eaf6260e2d500c3bebab930a2ddf3aba345026aad367cacebecd1
player-010,14,flat,0,8,1,0.0,0.0,1768,0,-1,7f069a9f44fe86189139a23735b86a34d108ff4ae28058016223c8172a09c52e
player-011,14,flat,1,8,1,0.0,0.0,1768,0,-1,b824434ecd226f92a08f89d4a5dca40bf5ef09b39b12bf5c364e950a04cd9705
player-012,14,flat,2,8,1,0.0,0.0,1768,0,-1,d25db8a7a32372f5c6e7a61126df52d5e0837c73c2e9c655d2599e1a0e6eec40
player-013,14,flat,3,8,1,0.0,0.0,1768,0,-1,97962efb0ee23553cabfbcf8c1f2042a45283bffbc43aa7403c97635c7187b87
player-014,14,flat,4,8,1,0.0,0.0,1768,0,-1,f0cb07544a41c3a99acaffba480885f46afcf44f6050573356de610105ffd0ab
player-015,19,flat,0,8,1,0.0,0.0,1768,0,-1,98ce2a8dc770d54ea2259bcb1f72e25330357e1fd6760b49a7db072f134e9620
player-016,19,flat,1,8,1,0.0,0.0,1768,0,-1,f32d4df7eb2642df1ce5e58c05a5ae399a0b13f8a863f478422728c655c32b31
player-017,19,flat,2,8,1,0.0,0.0,1768,0,-1,c03c0e85f67909d022f7269597576781427c8a314f2f05d7e0ba5dfd65fbd0df
