group,id,top,bottom,layout,depth,variant,width,name,seed,ticks,hash,data_sha256,breakthrough_tick,front,interface_width,water_delta,tick_p50_us,tick_p95_us,tick_max_us,overflow,max_cores,max_chunks,allocations,empty_moves,density_swaps,conversions,water_transfer_mass,rejected_moves,body_displacements,body_contacts,counts_conserved,workers,telemetry,serial
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s00,2,14,packed,32,baseline,32,Sand-Dust-packed-32-baseline-w32,0,1800,547bf066d94fba6f,56e8ef8be9e34f9c677d90a4e5d2cf3f541680014f86f22abf77955c6cacb162,32,32,0,0,0.5,1.4,393.5,0,6,20,0,0,16384,0,0,112128,0,0,True,,,
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s01,2,14,packed,32,baseline,32,Sand-Dust-packed-32-baseline-w32,1,1800,555c1012c71340e3,4f68dd994eb3e8971c2bfa7db0fc37a9b70fa3e13abc27793525967a127df6a6,32,32,0,0,0.7,0.9,425.4,0,3,20,0,0,16384,0,0,125664,0,0,True,,,
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s02,2,14,packed,32,baseline,32,Sand-Dust-packed-32-baseline-w32,2,1800,7516bb773e2f056a,78a73af589783e948e398ece79d139beba1017e9e090ad81b0354e1adb6941fc,32,32,0,0,0.7,0.7,336.8,0,3,20,0,0,16384,0,0,130080,0,0,True,,,
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s03,2,14,packed,32,baseline,32,Sand-Dust-packed-32-baseline-w32,3,1800,2e6e0f5df3286c49,2370f401e3858178273e8d4ebd39e07f21dfc432c06b76289fe7a751929f2899,32,32,0,0,0.7,1.8,338.9,0,3,20,0,0,16384,0,0,112128,0,0,True,,,
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s04,2,14,packed,32,baseline,32,Sand-Dust-packed-32-baseline-w32,4,1800,303730c8bcdc6973,2724de2d916610a71e8d8bee238a9e541f271f834abd2fa4c69979807cd78407,32,32,0,0,0.7,1.4,377.5,0,3,20,0,0,16384,0,0,125664,0,0,True,,,
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s00,14,2,packed,32,baseline,32,Dust-Sand-packed-32-baseline-w32,0,1800,239a77551fb6926f,417755224fa6b3900605c435078233ffc81716ca571cb831dd229c6bcbeca722,-1,0,0,0,0.4,0.5,365.7,0,6,20,0,0,0,0,0,13824,0,0,True,,,
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s01,14,2,packed,32,baseline,32,Dust-Sand-packed-32-baseline-w32,1,1800,33f515661fa5ea6e,a3362caa7d3071abbde750aacae02f11b8f577f84dee61a1b78d6b0cb3fe5e59,-1,0,0,0,0.4,0.5,313.1,0,3,20,0,0,0,0,0,13824,0,0,True,,,
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s02,14,2,packed,32,baseline,32,Dust-Sand-packed-32-baseline-w32,2,1800,c4daa30ee49d9f2f,c1b08af89dcddb9e5dbf069fbf8162d243397eadd29fdb66901cc36acf66a90f,-1,0,0,0,0.4,0.5,317.7,0,3,20,0,0,0,0,0,13824,0,0,True,,,
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s03,14,2,packed,32,baseline,32,Dust-Sand-packed-32-baseline-w32,3,1800,b4e6bf0993169c74,1fae082f23ef416e75128626bf42990d8ddddac868a232f7d3c4830d2ab37ed9,-1,0,0,0,0.4,0.5,380.5,0,3,20,0,0,0,0,0,13824,0,0,True,,,
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s04,14,2,packed,32,baseline,32,Dust-Sand-packed-32-baseline-w32,4,1800,b3fa5d23722fe9d2,21baf03775409678487f5e6b3b00a4dda5234b15543714019ebad26eaf97c1a9,-1,0,0,0,0.4,0.5,320.9,0,3,20,0,0,0,0,0,13824,0,0,True,,,
