group,id,material,mode,layout,name,seed,ticks,hash,data_sha256,completed_ticks,peak_depth,final_depth,late_creep,floor_contact_tick,grounded_ticks,max_overlap,intermediate_caps,final_caps,displaced,unresolved,max_sample_age,stale,duplicates,water_delta,global_water_delta,water_below_floor,counts_conserved,overflow,tick_p50_us,tick_p95_us,tick_max_us,coupling_p50_us,coupling_p95_us,coupling_max_us,displacement_impulse_x,displacement_impulse_y,pre_floor_displacement_y,boundary_impulse_x,boundary_impulse_y,pre_floor_boundary_y,contact_impulse_x,contact_impulse_y,pre_floor_contact_y,applied_impulse_x,applied_impulse_y,pre_floor_applied_y,visual,displacement,boundary,contact,cap,density_limit,mass,damping,friction,delay,duplicate,telemetry,workers,serial,fallback,drop,angle,size,speed,conservation
godot-controls-final,000-player-Sand-flat-s00,2,player,flat,player-Sand-flat,0,1800,9dc42c2c03b84cab,332b505e0e761e6e718e40df1750caaea8e3a00caa09cdf6ce5e3d8fd24e1ca4,1800,0.0,0.0,0.0,-1,1768,0,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,6448.0,3.0,5.0,40.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
godot-controls-final,000-player-Sand-flat-s01,2,player,flat,player-Sand-flat,1,1800,70ad4066ff9c7238,b0ac6d184b6463a619d3e8ff4387c03fac70326871c44fa542bf2818c9e10640,1800,0.0,0.0,0.0,-1,1768,0,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,6665.0,3.0,6.0,141.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
godot-controls-final,000-player-Sand-flat-s02,2,player,flat,player-Sand-flat,2,1800,c7962228033a3c68,aa226a5bbfadb1b0066e8b3add9acf6fce6a514f097fbc5cff537e9e0475df13,1800,0.0,0.0,0.0,-1,1768,0,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,5627.0,3.0,5.0,32.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
godot-controls-final,000-player-Sand-flat-s03,2,player,flat,player-Sand-flat,3,1800,e7c272f02ccbb9f9,b9d82b51aa7a601e580bd99bea1effdc7dc5bc48a99d4f344dd7038c658a418c,1800,0.0,0.0,0.0,-1,1768,0,0,0,0,0,0,0,0,0,,,True,0,2.0,3.0,4987.0,3.0,5.0,29.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
godot-controls-final,000-player-Sand-flat-s04,2,player,flat,player-Sand-flat,4,1800,1a8e32f5fffdfb67,fda76ea817eb8bbd2c713ddaddbbe04d84ec8f2cd9b48e24bd851ce699d504b6,1800,0.0,0.0,0.0,-1,1768,0,0,0,0,0,0,0,0,0,,,True,0,2.0,3.0,5009.0,3.0,5.0,40.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
godot-controls-final,001-player-Stone-flat-s00,13,player,flat,player-Stone-flat,0,1800,14d7bd3bf66a9cab,af58638c19f08eef1bbf4f06ce15231a9439b078136566d3e831519441c7750d,1800,383.991394042969,383.991394042969,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,4754.0,3.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,001-player-Stone-flat-s01,13,player,flat,player-Stone-flat,1,1800,4676d4da2c09e9fc,4cb568318676bc733f9c2d5e7b729a9639ec19a91d1260d123f62be811645b9a,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,3540.0,3.0,6.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,001-player-Stone-flat-s02,13,player,flat,player-Stone-flat,2,1800,ea6e8742b3ab12d8,a4f9f047855a200a6f3341fdc98e103ac18d0eeea6e4c104dac3b19142e480d7,1800,383.991577148438,383.991577148438,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,6235.0,3.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,001-player-Stone-flat-s03,13,player,flat,player-Stone-flat,3,1800,5ea70b21531bfbd,43f97b17f509c002563ed45e1fdf0a62d1f705cd51d15c3e7530ac46fe587e35,1800,383.991455078125,383.991455078125,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,3.0,5.0,4587.0,4.0,8.0,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,001-player-Stone-flat-s04,13,player,flat,player-Stone-flat,4,1800,1e7efff34d6b927,1fc04889739aa3f5c2698fa2395581f1911b66413792adc11c80d0aed32c2b2d,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,3.0,5.0,6923.0,4.0,9.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,002-player-Dust-flat-s00,14,player,flat,player-Dust-flat,0,1800,cc50207b0faa2cab,fbabc2ae628fa70ebe923ca306638146466bfa40afacb6edf7b440669cc3f764,1800,383.991394042969,383.991394042969,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,3.0,5.0,9970.0,4.0,9.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,002-player-Dust-flat-s01,14,player,flat,player-Dust-flat,1,1800,7448c0da160d5048,ce5b65daa6d3cbc74704418ded7d1d201a2bc75df73c1e9a96fcf194c25849bb,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,3.0,5.0,12529.0,4.0,10.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,002-player-Dust-flat-s02,14,player,flat,player-Dust-flat,2,1800,2601ec7976c793e8,6364313c28d6922e96a972b76694f5a6aa4dde39d59396daeb0d355f2bd9361f,1800,383.991577148438,383.991577148438,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,9987.0,3.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,002-player-Dust-flat-s03,14,player,flat,player-Dust-flat,3,1800,b0b7499a91976e11,4d3516102f8d7e2a840de53a230bee1b2217440d55c1e4ac9e67c3fd6ef5afc7,1800,383.991455078125,383.991455078125,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,3.0,5.0,10214.0,4.0,8.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,002-player-Dust-flat-s04,14,player,flat,player-Dust-flat,4,1800,66267be096b74667,941e58bacdc769e26a20594f1bafd2d5da25cf562d7d59e83b86b01c5f7dec9d,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,5.0,9843.0,4.0,9.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,003-player-Seed-flat-s00,19,player,flat,player-Seed-flat,0,1800,d8e5fbc38ed31cab,749a29c742e99c6cade9f08c084c17c1c0203aab75265bc475c48c11a51da027,1800,383.991394042969,383.991394042969,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,5.0,10630.0,3.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,003-player-Seed-flat-s01,19,player,flat,player-Seed-flat,1,1800,b82eb4b700b1ef54,134a34a869eca7cb43f36eed1a92c67e43e95c55067b29a4a2be17fb4b1b0ebc,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,13320.0,3.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,003-player-Seed-flat-s02,19,player,flat,player-Seed-flat,2,1800,f799909878270398,db0fbc187376758a579da84f8014e940b8ad7e5ae3be840912a43d865d9af497,1800,383.991577148438,383.991577148438,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,3.0,5.0,10825.0,4.0,9.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,003-player-Seed-flat-s03,19,player,flat,player-Seed-flat,3,1800,f33c6be2a3674131,eba6c93c8f2c86e86ead24de827aa8bdff41600c0e48a1de89c0c913b4864806,1800,383.991455078125,383.991455078125,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,3.0,14803.0,3.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,003-player-Seed-flat-s04,19,player,flat,player-Seed-flat,4,1800,fcb991ca1c2e8027,7bfc32f0fd9a6fb7a13fd6c5dbb5c11daa9c26335a4320ab16d5da20c4149f65,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,5.0,11161.0,4.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,004-player-Salt-flat-s00,23,player,flat,player-Salt-flat,0,1800,a79e718e744d5cab,ffd13c4450037c0bcad34e3b36b5621a3577a404b4fe821b4d788979eec12c38,1800,383.991394042969,383.991394042969,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,10167.0,3.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,004-player-Salt-flat-s01,23,player,flat,player-Salt-flat,1,1800,afb4bfdccf1a2aac,0a43259d08cb83df263de4d2381e6e959abea4284883143671ecdb0efd012cd0,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,10896.0,4.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,004-player-Salt-flat-s02,23,player,flat,player-Salt-flat,2,1800,af30ee636eeac6b8,08449b0d97999a05ac1c1cf297cc6fa12edc487f59a67ef98ae27aedae0b4e66,1800,383.991577148438,383.991577148438,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,3.0,5.0,9267.0,4.0,9.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
