group,id,material,initial_count,final_count,initial_sum_y,final_sum_y
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s00,Wall,322,322,20608,20608
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s00,Sand,512,512,44800,61184
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s00,Dust,1024,1024,114176,97792
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s01,Wall,336,336,22680,22680
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s01,Sand,512,512,48384,64768
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s01,Dust,1024,1024,121344,104960
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s02,Wall,350,350,24850,24850
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s02,Sand,512,512,51968,68352
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s02,Dust,1024,1024,128512,112128
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s03,Wall,324,324,20898,20898
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s03,Sand,512,512,45312,61696
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s03,Dust,1024,1024,115200,98816
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s04,Wall,338,338,22984,22984
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s04,Sand,512,512,48896,65280
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s04,Dust,1024,1024,122368,105984
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s00,Wall,322,322,20608,20608
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s00,Sand,1024,1024,114176,114176
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s00,Dust,512,512,44800,44800
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s01,Wall,336,336,22680,22680
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s01,Sand,1024,1024,121344,121344
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s01,Dust,512,512,48384,48384
native-expanded,001-Dust-Sand-packed-32-baseline-w32-s02,Wall,350,350,24850,24850
