group,id,event,source,target,dx,dy,count
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s00,density_swaps,Sand,Dust,0,1,16384
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s01,density_swaps,Sand,Dust,0,1,16384
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s02,density_swaps,Sand,Dust,0,1,16384
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s03,density_swaps,Sand,Dust,0,1,16384
native-expanded,000-Sand-Dust-packed-32-baseline-w32-s04,density_swaps,Sand,Dust,0,1,16384
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s00,density_swaps,Stone,Sand,0,1,15936
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s01,density_swaps,Stone,Sand,0,1,15388
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s02,density_swaps,Stone,Sand,0,1,15688
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s03,density_swaps,Stone,Sand,0,1,15936
native-expanded,002-Stone-Sand-packed-32-baseline-w32-s04,density_swaps,Stone,Sand,0,1,15318
native-expanded,004-Rust-Sand-packed-32-baseline-w32-s00,density_swaps,Rust,Sand,0,1,16384
native-expanded,004-Rust-Sand-packed-32-baseline-w32-s01,density_swaps,Rust,Sand,0,1,16384
native-expanded,004-Rust-Sand-packed-32-baseline-w32-s02,density_swaps,Rust,Sand,0,1,16384
native-expanded,004-Rust-Sand-packed-32-baseline-w32-s03,density_swaps,Rust,Sand,0,1,16384
native-expanded,004-Rust-Sand-packed-32-baseline-w32-s04,density_swaps,Rust,Sand,0,1,16384
native-expanded,006-Mercury-Sand-packed-32-baseline-w32-s00,density_swaps,Mercury,Sand,0,1,16384
native-expanded,006-Mercury-Sand-packed-32-baseline-w32-s01,density_swaps,Mercury,Sand,0,1,16384
native-expanded,006-Mercury-Sand-packed-32-baseline-w32-s02,density_swaps,Mercury,Sand,0,1,16384
native-expanded,006-Mercury-Sand-packed-32-baseline-w32-s03,density_swaps,Mercury,Sand,0,1,16384
native-expanded,006-Mercury-Sand-packed-32-baseline-w32-s04,density_swaps,Mercury,Sand,0,1,16384
native-expanded,008-Mercury-Dust-packed-32-baseline-w32-s00,density_swaps,Mercury,Dust,0,1,16384
native-expanded,008-Mercury-Dust-packed-32-baseline-w32-s01,density_swaps,Mercury,Dust,0,1,16384
native-expanded,008-Mercury-Dust-packed-32-baseline-w32-s02,density_swaps,Mercury,Dust,0,1,16384
native-expanded,008-Mercury-Dust-packed-32-baseline-w32-s03,density_swaps,Mercury,Dust,0,1,16384
native-expanded,008-Mercury-Dust-packed-32-baseline-w32-s04,density_swaps,Mercury,Dust,0,1,16384
native-expanded,011-Sand-Water-packed-32-baseline-w32-s00,density_swaps,Sand,Water,0,1,16384
native-expanded,011-Sand-Water-packed-32-baseline-w32-s01,density_swaps,Sand,Water,0,1,16384
native-expanded,011-Sand-Water-packed-32-baseline-w32-s02,density_swaps,Sand,Water,0,1,16384
native-expanded,011-Sand-Water-packed-32-baseline-w32-s03,density_swaps,Sand,Water,0,1,16384
native-expanded,011-Sand-Water-packed-32-baseline-w32-s04,density_swaps,Sand,Water,0,1,16384
native-expanded,012-Water-Dust-packed-32-baseline-w32-s00,density_swaps,Water,Dust,0,1,16384
native-expanded,012-Water-Dust-packed-32-baseline-w32-s01,density_swaps,Water,Dust,0,1,16384
native-expanded,012-Water-Dust-packed-32-baseline-w32-s02,density_swaps,Water,Dust,0,1,16384
native-expanded,012-Water-Dust-packed-32-baseline-w32-s03,density_swaps,Water,Dust,0,1,16384
native-expanded,012-Water-Dust-packed-32-baseline-w32-s04,density_swaps,Water,Dust,0,1,16384
native-expanded,015-Sand-Oil-packed-32-baseline-w32-s00,density_swaps,Sand,Oil,0,1,16384
native-expanded,015-Sand-Oil-packed-32-baseline-w32-s01,density_swaps,Sand,Oil,0,1,16384
native-expanded,015-Sand-Oil-packed-32-baseline-w32-s02,density_swaps,Sand,Oil,0,1,16384
native-expanded,015-Sand-Oil-packed-32-baseline-w32-s03,density_swaps,Sand,Oil,0,1,16384
native-expanded,015-Sand-Oil-packed-32-baseline-w32-s04,density_swaps,Sand,Oil,0,1,16384
native-expanded,019-Sand-Brine-packed-32-baseline-w32-s00,density_swaps,Sand,Brine,0,1,16384
native-expanded,019-Sand-Brine-packed-32-baseline-w32-s01,density_swaps,Sand,Brine,0,1,16384
native-expanded,019-Sand-Brine-packed-32-baseline-w32-s02,density_swaps,Sand,Brine,0,1,16384
native-expanded,019-Sand-Brine-packed-32-baseline-w32-s03,density_swaps,Sand,Brine,0,1,16384
native-expanded,019-Sand-Brine-packed-32-baseline-w32-s04,density_swaps,Sand,Brine,0,1,16384
native-expanded,020-Brine-Dust-packed-32-baseline-w32-s00,density_swaps,Brine,Dust,0,1,16384
native-expanded,020-Brine-Dust-packed-32-baseline-w32-s01,density_swaps,Brine,Dust,0,1,16384
native-expanded,020-Brine-Dust-packed-32-baseline-w32-s02,density_swaps,Brine,Dust,0,1,16384
native-expanded,020-Brine-Dust-packed-32-baseline-w32-s03,density_swaps,Brine,Dust,0,1,16384
native-expanded,020-Brine-Dust-packed-32-baseline-w32-s04,density_swaps,Brine,Dust,0,1,16384
native-expanded,023-Sand-Paste-packed-32-baseline-w32-s00,density_swaps,Sand,Paste,0,1,16384
native-expanded,023-Sand-Paste-packed-32-baseline-w32-s01,density_swaps,Sand,Paste,0,1,16384
native-expanded,023-Sand-Paste-packed-32-baseline-w32-s02,density_swaps,Sand,Paste,0,1,16384
native-expanded,023-Sand-Paste-packed-32-baseline-w32-s03,density_swaps,Sand,Paste,0,1,16384
native-expanded,023-Sand-Paste-packed-32-baseline-w32-s04,density_swaps,Sand,Paste,0,1,16384
native-expanded,024-Paste-Dust-packed-32-baseline-w32-s00,density_swaps,Paste,Dust,0,1,16384
native-expanded,024-Paste-Dust-packed-32-baseline-w32-s01,density_swaps,Paste,Dust,0,1,16384
native-expanded,024-Paste-Dust-packed-32-baseline-w32-s02,density_swaps,Paste,Dust,0,1,16384
native-expanded,024-Paste-Dust-packed-32-baseline-w32-s03,density_swaps,Paste,Dust,0,1,16384
native-expanded,024-Paste-Dust-packed-32-baseline-w32-s04,density_swaps,Paste,Dust,0,1,16384
native-expanded,026-Lava-Sand-packed-32-baseline-w32-s00,density_swaps,Lava,Sand,0,1,16384
native-expanded,026-Lava-Sand-packed-32-baseline-w32-s01,density_swaps,Lava,Sand,0,1,16384
native-expanded,026-Lava-Sand-packed-32-baseline-w32-s02,density_swaps,Lava,Sand,0,1,16384
native-expanded,026-Lava-Sand-packed-32-baseline-w32-s03,density_swaps,Lava,Sand,0,1,16384
native-expanded,026-Lava-Sand-packed-32-baseline-w32-s04,density_swaps,Lava,Sand,0,1,16384
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,6,Empty,-1,-1,1362
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,4,Empty,-1,-1,4071
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,density_swaps,Dust,6,-1,1,17
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,6,Empty,1,0,1229
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,4,Empty,1,0,4193
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,density_swaps,Lava,Dust,0,1,6811
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,conversions,4,Empty,0,0,1020
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,conversions,6,4,0,0,1024
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,conversions,Dust,6,0,0,1024
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,6,Empty,-1,0,1216
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,4,Empty,-1,0,4395
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,6,Empty,1,-1,1354
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,4,Empty,1,-1,4733
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,density_swaps,Dust,6,1,1,58
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,6,Empty,0,-1,1552
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,empty_moves,4,Empty,0,-1,76791
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,density_swaps,Lava,6,0,1,9573
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s00,density_swaps,Dust,6,0,1,269
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,6,Empty,-1,-1,1340
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,4,Empty,-1,-1,4494
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,density_swaps,Dust,6,-1,1,44
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,6,Empty,1,0,1115
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,4,Empty,1,0,5362
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,density_swaps,Lava,Dust,0,1,5721
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,conversions,4,Empty,0,0,1020
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,conversions,6,4,0,0,1024
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,conversions,Dust,6,0,0,1024
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,6,Empty,-1,0,1176
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,4,Empty,-1,0,5305
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,6,Empty,1,-1,1289
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,4,Empty,1,-1,4531
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,density_swaps,Dust,6,1,1,41
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,6,Empty,0,-1,1384
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,empty_moves,4,Empty,0,-1,83662
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,density_swaps,Lava,6,0,1,10663
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s01,density_swaps,Dust,6,0,1,249
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,6,Empty,-1,-1,1324
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,4,Empty,-1,-1,4573
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,density_swaps,Dust,6,-1,1,84
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,6,Empty,1,0,1154
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,4,Empty,1,0,4687
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,density_swaps,Lava,Dust,0,1,4864
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,conversions,4,Empty,0,0,1020
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,conversions,6,4,0,0,1024
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,conversions,Dust,6,0,0,1024
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,6,Empty,-1,0,1140
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,4,Empty,-1,0,4604
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,6,Empty,1,-1,1311
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,4,Empty,1,-1,4822
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,density_swaps,Dust,6,1,1,25
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,6,Empty,0,-1,1493
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,empty_moves,4,Empty,0,-1,90483
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,density_swaps,Lava,6,0,1,11520
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s02,density_swaps,Dust,6,0,1,215
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,empty_moves,6,Empty,-1,-1,1307
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,empty_moves,4,Empty,-1,-1,4111
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,density_swaps,Dust,6,-1,1,64
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,empty_moves,6,Empty,1,0,1248
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,empty_moves,4,Empty,1,0,6004
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,density_swaps,Lava,Dust,0,1,6306
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,conversions,4,Empty,0,0,1019
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,conversions,6,4,0,0,1024
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,conversions,Dust,6,0,0,1024
native-expanded,028-Lava-Dust-packed-32-baseline-w32-s03,empty_moves,6,Empty,-1,0,1181
