group,setting_id,setting,seeds,ticks,floor_hits,peak_depth_median,peak_depth_min,peak_depth_max,final_depth_median,final_depth_min,final_depth_max,late_creep_median,late_creep_min,late_creep_max,floor_contact_tick_median,floor_contact_tick_min,floor_contact_tick_max,intermediate_caps_median,intermediate_caps_min,intermediate_caps_max,tick_p95_us_median,tick_p95_us_min,tick_p95_us_max,coupling_p95_us_median,coupling_p95_us_min,coupling_p95_us_max
godot-controls-final,009,"{""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001748592451,384.001743594097,384.002147190076,384.001743145531,384.001439800166,384.001932523249,,,,156,154,158,19185,17227,21820,985.0,912.0,1334.0,366.0,345.0,371.0
godot-controls-final,010,"{""layout"": ""flat"", ""material"": 14}",5,1800,5,384.001876127008,384.001753254856,384.002334610456,384.001865487597,384.001022649008,384.001869169912,,,,154,151,170,17567,14703,26607,1217.0,1024.0,1753.0,378.0,311.0,399.0
godot-controls-final,011,"{""layout"": ""flat"", ""material"": 23}",5,1800,5,384.001748592451,384.001743594097,384.002147190076,384.001743145531,384.001439800166,384.001932523249,,,,156,154,158,19185,17227,21820,1404.0,1331.0,1757.0,386.0,347.0,440.0
godot-controls-final,012,"{""layout"": ""flat"", ""material"": 3}",5,1800,5,384.002021389535,384.001889402342,384.659362792969,384.001016569145,384.000224751791,384.001739902387,,,,352,311,381,18296,14535,21671,11564.0,6299.0,25721.0,383.0,372.0,463.0
godot-controls-final,013,"{""layout"": ""flat"", ""material"": 16}",5,1800,5,384.001935474765,384.001776088308,384.002187401291,384.001733440791,384.00025002394,384.001819887614,,,,148,143,152,18938,14077,25558,4543.0,4506.0,15926.0,393.0,382.0,445.0
godot-controls-final,014,"{""layout"": ""flat"", ""material"": 33}",5,1800,5,384.001770421855,384.001706106176,384.002028515656,384.001738391439,384.001584464954,384.001918729855,,,,148,145,149,22180,17760,27457,2920.0,2891.0,8954.0,414.0,360.0,432.0
godot-controls-final,015,"{""layout"": ""hard"", ""material"": 0}",5,1800,0,0.00045776381119822,0.00045776381119822,0.00045776381119822,0.00045776381119822,0.00045776381119822,0.00045776381119822,0.0,0.0,0.0,,,,0,0,0,45.0,25.0,48.0,102.0,94.0,111.0
godot-controls-final,016,"{""layout"": ""flat"", ""material"": 0}",5,1800,5,384.369995117188,384.369995117188,384.369995117188,384.000976564728,384.000976564728,384.000976564728,,,,201,201,201,0,0,0,45.0,28.0,46.0,110.0,103.0,113.0
godot-controls-final,017,"{""layout"": ""mixed"", ""material"": 2}",5,1800,5,384.00180415709,384.001689570162,386.67333984375,384.001798176421,384.001679685627,384.001973838852,,,,144,143,144,19200,17423,24769,3397.0,2757.0,3659.0,376.0,346.0,391.0
godot-controls-final,018,"{""displacement"": 0.0, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001680082638,384.001648856442,384.001680143718,384.001670388324,384.001648856442,384.001677928538,,,,147,143,149,1,0,2,1006.0,813.0,1053.0,371.0,332.0,398.0
godot-controls-final,019,"{""displacement"": 0.09, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001746913633,384.001694194719,384.001868866257,384.001730391971,384.001692914013,384.001852074064,,,,155,152,156,7530,5651,8307,967.0,850.0,1005.0,371.0,345.0,380.0
godot-controls-final,020,"{""displacement"": 0.36, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001863490071,384.001684823402,386.327819824219,384.001860286155,384.00167238318,384.001968795263,,,,155,154,159,40540,39372,45039,1042.0,944.0,5597.0,314.0,271.0,387.0
godot-controls-final,021,"{""boundary"": 0.0, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.00181254846,384.001763300955,384.002489688584,384.001752912676,384.001447177545,384.001810234245,,,,150,145,161,1879,1815,6285,1092.0,906.0,5705.0,380.0,348.0,403.0
godot-controls-final,022,"{""boundary"": 0.095, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001931107902,384.001747592727,384.002253920592,384.001799936737,384.001365428973,384.001916648479,,,,156,153,161,19537,17568,25287,1027.0,975.0,6075.0,366.0,336.0,386.0
godot-controls-final,023,"{""boundary"": 0.38, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.00174473366,384.001680940679,384.002003982142,384.001676122104,384.001667248156,384.001984937038,,,,154,153,159,22683,19308,28300,966.0,839.0,981.0,333.0,319.0,351.0
godot-controls-final,024,"{""contact"": 0.0, ""layout"": ""flat"", ""material"": 2}",5,1800,0,12.5496826171875,12.5472564697266,12.5560455322266,1.400390625,1.24378967285156,1.81932067871094,0.053009033203125,-0.329147338867188,0.56488037109375,,,,1251,706,1383,839.0,730.0,961.0,167.0,148.0,173.0
godot-controls-final,025,"{""contact"": 0.0125, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.00216340917,384.001801559574,386.27490234375,384.001795106458,384.001794331531,384.001975279492,,,,164,159,169,18845,17342,21335,960.0,837.0,1037.0,343.0,334.0,389.0
godot-controls-final,026,"{""contact"": 0.05, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001740805723,384.001682233147,384.00192326404,384.001683097558,384.001674999545,384.001918796379,,,,151,148,154,21853,17134,28262,974.0,802.0,1117.0,351.0,346.0,399.0
godot-controls-final,027,"{""cap"": 1.5, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001080692316,384.001016494768,384.003321405777,384.001018146137,384.000995974614,384.001254585366,,,,171,169,178,46089,44674,49133,973.0,809.0,1097.0,343.0,320.0,389.0
godot-controls-final,028,"{""cap"": 6, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.00283633397,384.002656092941,387.572875976563,384.001055605911,384.000269462609,384.002649265348,,,,144,140,154,1148,888,3187,6286.0,965.0,7858.0,347.0,304.0,360.0
godot-controls-final,029,"{""density_limit"": 3.2, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001748592451,384.001743594097,384.002147190076,384.001743145531,384.001439800166,384.001932523249,,,,156,154,158,19185,17227,21820,1080.0,1002.0,1375.0,401.0,384.0,410.0
godot-controls-final,030,"{""layout"": ""flat"", ""mass"": 0.5, ""material"": 2}",5,1800,4,384.002603607114,9.73606872558594,384.003353505842,384.00259226006,1.789306640625,384.002723583499,1.00300598144531,1.00300598144531,1.00300598144531,137.5,135,242,19418,473,22170,1020.0,842.0,4016.0,387.0,183.0,474.0
godot-controls-final,031,"{""layout"": ""flat"", ""mass"": 2, ""material"": 2}",5,1800,5,384.00102479693,384.001011031816,384.001073750129,384.001010215557,384.001002827357,384.001072389146,,,,173,172,181,20943,17230,21203,1005.0,902.0,1114.0,361.0,335.0,383.0
godot-controls-final,032,"{""damping"": 0.5, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001928951342,384.001743500619,386.657165527344,384.001749379502,384.00171397002,384.001914464725,,,,151,149,154,23435,17242,30090,1027.0,916.0,4320.0,374.0,365.0,400.0
godot-controls-final,033,"{""damping"": 2, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001802016939,384.001745646958,386.06396484375,384.001790389855,384.001667665111,384.001793540323,,,,165,162,169,23889,21314,26234,1024.0,965.0,1154.0,380.0,335.0,381.0
godot-controls-final,034,"{""friction"": 0.4, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001748589089,384.001743590888,384.002147197516,384.001747931786,384.00173630049,384.001922206708,,,,156,154,158,19179,17226,21760,1029.0,931.0,1067.0,370.0,359.0,387.0
godot-controls-final,035,"{""friction"": 1, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001748592451,384.001743594097,384.002147190076,384.001743145531,384.001439800166,384.001932523249,,,,156,154,158,19185,17227,21820,1013.0,934.0,1291.0,364.0,362.0,396.0
godot-controls-final,036,"{""delay"": 1, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001222241442,384.001137855981,384.00134573086,384.001197584851,384.001125046831,384.001313218292,,,,162,160,169,21132,17081,21152,1003.0,834.0,1093.0,377.0,351.0,406.0
godot-controls-final,037,"{""delay"": 2, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001405036637,384.001075876189,385.975341796875,384.001190467899,384.001056473942,384.001359740466,,,,167,165,177,28174,16964,31445,1127.0,868.0,1247.0,381.0,357.0,397.0
godot-controls-final,038,"{""delay"": 4, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001094843329,384.001016552036,385.86474609375,384.001060018662,384.00099782059,384.001186776043,,,,173,170,182,23014,17047,27372,946.0,797.0,1126.0,324.0,309.0,388.0
godot-controls-final,039,"{""delay"": 8, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001191033086,384.001021240117,384.001235345092,384.001013576827,384.000996640044,384.001189975712,,,,182,177,188,23945,20812,30535,974.0,806.0,1047.0,311.0,306.0,356.0
godot-controls-final,040,"{""delay"": 9, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.369995117188,384.369995117188,384.369995117188,384.000976564728,384.000976564728,384.000976564728,,,,201,201,201,30009,30009,30012,873.0,784.0,965.0,265.0,235.0,274.0
godot-controls-final,041,"{""duplicate"": true, ""layout"": ""flat"", ""material"": 2}",5,1800,5,384.001748592451,384.001743594097,384.002147190076,384.001743145531,384.001439800166,384.001932523249,,,,156,154,158,19185,17227,21820,958.0,869.0,1172.0,334.0,311.0,346.0
godot-controls-final,042,"{""layout"": ""flat"", ""material"": 2, ""telemetry"": false}",5,1800,5,384.001748592451,384.001743594097,384.002147190076,384.001743145531,384.001439800166,384.001932523249,,,,156,154,158,0,0,0,883.0,820.0,1023.0,316.0,299.0,336.0
godot-controls-final,043,"{""layout"": ""flat"", ""material"": 2, ""workers"": 4}",5,1800,5,384.001748592451,384.001743594097,384.002147190076,384.001743145531,384.001439800166,384.001932523249,,,,156,154,158,19185,17227,21820,961.0,884.0,1201.0,329.0,323.0,341.0
godot-controls-final,044,"{""layout"": ""flat"", ""material"": 2, ""serial"": true}",5,1800,5,384.001745654154,384.001743106308,386.408325195313,384.001742349356,384.001736200843,384.001748046487,,,,156,152,158,21576,17691,21697,1137.0,998.0,1315.0,340.0,331.0,353.0
godot-controls-final,045,"{""fallback"": true, ""layout"": ""flat"", ""material"": 2}",1,180,1,384.001702171697,384.001702171697,384.001702171697,384.001682862387,384.001682862387,384.001682862387,,,,144,144,144,0,0,0,41366.0,41366.0,41366.0,26843.0,26843.0,26843.0
godot-controls-final,047,"{""fallback"": true, ""layout"": ""flat"", ""material"": 14}",1,180,0,314.479248046875,314.479248046875,314.479248046875,314.479248046875,314.479248046875,314.479248046875,,,,,,,0,0,0,3738.0,3738.0,3738.0,3854.0,3854.0,3854.0
godot-controls-final,049,"{""fallback"": true, ""layout"": ""flat"", ""material"": 33}",1,180,0,314.479248046875,314.479248046875,314.479248046875,314.479248046875,314.479248046875,314.479248046875,,,,,,,0,0,0,3734.0,3734.0,3734.0,3904.0,3904.0,3904.0
godot-creep,000,"{""layout"": ""flat"", ""material"": 2}",20,7200,20,384.001760837579,384.001693727838,386.421875,384.0017417452355,384.000145627217,384.001931805056,,,,155.0,143,161,80019.0,11329,116347,811.5,10.0,5569.0,303.5,259.0,344.0
godot-creep,001,"{""cap"": 6, ""layout"": ""flat"", ""material"": 2}",20,7200,17,384.0027111262745,8.99581909179688,387.572875976563,384.002466298173,1.37823486328125,384.002764034217,-0.19964599609375,-0.231887817382813,-0.0361328125,143,136,154,1075.5,15,9113,933.0,8.0,5861.0,306.0,127.0,491.0
godot-creep,002,"{""boundary"": 0.38, ""layout"": ""flat"", ""material"": 2}",20,7200,20,384.001746371168,384.001680948821,384.003078098314,384.0016815190305,384.001668515102,384.001787358238,,,,154.5,143,160,88599.0,66404,130341,713.0,12.0,1329.0,288.5,238.0,421.0
godot-creep,003,"{""delay"": 4, ""layout"": ""flat"", ""material"": 2}",20,7200,20,384.0010865257925,384.001016552661,385.86474609375,384.001057548024,384.00100406711,384.001193184166,,,,173.5,162,183,88757.5,67764,131505,866.0,12.0,1456.0,357.5,264.0,429.0
godot-creep,004,"{""layout"": ""excavate"", ""material"": 2}",20,7200,20,384.005896422394,384.002269634988,386.421875,384.00103015968796,383.999454941351,384.001943973075,,,,155.0,143,161,26621.0,6884,52659,3963.5,1845.0,6158.0,286.5,237.0,409.0
godot-creep,005,"{""layout"": ""flat"", ""material"": 14}",20,7200,20,384.001826014355,384.001692728348,386.750244140625,384.0017429369105,384.000260052037,384.001928107114,,,,154.0,143,170,68383.5,6312,107097,1146.0,11.0,1957.0,375.0,279.0,486.0
